date,long_ret,short_ret,gross_ret,turnover,cost,net_ret,period,strategy
1992-12-17,0.0151616,0.0003935999999999997,0.014768000000000002,1.0,0.0005,0.014268000000000001,1,Feature-LSTM
1992-12-18,-0.0008195000000000002,-0.0043066,0.0034870999999999995,0.5,0.00025,0.0032370999999999997,1,Feature-LSTM
1992-12-21,0.0207478,0.007476000000000001,0.0132718,0.55,0.000275,0.012996800000000001,1,Feature-LSTM
1992-12-22,0.04189179999999999,0.006778799999999999,0.03511299999999999,0.5,0.00025,0.03486299999999999,1,Feature-LSTM
1992-12-23,0.011686199999999999,0.0039268,0.007759399999999999,0.5,0.00025,0.0075093999999999985,1,Feature-LSTM
1992-12-24,-0.00024309999999999992,-0.004228599999999999,0.0039854999999999995,0.5,0.00025,0.0037354999999999992,1,Feature-LSTM
1992-12-28,0.006297,-0.0079034,0.014200399999999998,0.5,0.00025,0.013950399999999998,1,Feature-LSTM
1992-12-29,0.0103736,-0.0039442,0.0143178,0.4,0.0002,0.0141178,1,Feature-LSTM
1992-12-30,0.0038473,0.0127184,-0.0088711,0.55,0.000275,-0.009146099999999999,1,Feature-LSTM
1992-12-31,0.0020684000000000006,-0.022166200000000004,0.024234600000000005,0.3,0.00015,0.024084600000000005,1,Feature-LSTM
1993-01-04,0.0068151,-0.0054962,0.0123113,0.4,0.0002,0.0121113,1,Feature-LSTM
1993-01-05,0.0006991999999999991,0.004783600000000001,-0.004084400000000002,0.6,0.0003,-0.004384400000000002,1,Feature-LSTM
1993-01-06,-0.009029,-0.00016459999999999956,-0.008864400000000001,0.5,0.00025,-0.009114400000000002,1,Feature-LSTM
1993-01-07,-0.0003412999999999997,-0.0076933,0.007352000000000001,0.44999999999999996,0.000225,0.0071270000000000005,1,Feature-LSTM
1993-01-08,0.0340702,0.004556999999999999,0.029513200000000003,0.4,0.0002,0.029313200000000005,1,Feature-LSTM
1993-01-11,0.008767800000000001,0.0073852,0.0013826000000000012,0.55,0.000275,0.0011076000000000011,1,Feature-LSTM
1993-01-12,0.0094356,0.004823600000000001,0.004612,0.55,0.000275,0.004337,1,Feature-LSTM
1993-01-13,0.026888699999999998,0.0110376,0.0158511,0.55,0.000275,0.0155761,1,Feature-LSTM
1993-01-14,0.0184279,0.0018471000000000002,0.0165808,0.55,0.000275,0.0163058,1,Feature-LSTM
1993-01-15,0.0027937,-0.0025361999999999997,0.0053299,0.55,0.000275,0.0050549,1,Feature-LSTM
1993-01-18,0.001822,0.008972499999999998,-0.007150499999999998,0.35,0.000175,-0.007325499999999998,1,Feature-LSTM
1993-01-19,0.015661500000000002,-0.0085688,0.024230300000000003,0.5,0.00025,0.023980300000000003,1,Feature-LSTM
1993-01-20,0.002516,-0.008313000000000001,0.010829000000000002,0.6,0.0003,0.010529000000000002,1,Feature-LSTM
1993-01-21,0.007954800000000001,-0.008184100000000001,0.016138900000000005,0.55,0.000275,0.015863900000000004,1,Feature-LSTM
1993-01-22,0.018630100000000004,-0.006682099999999999,0.025312200000000003,0.6499999999999999,0.00032499999999999993,0.024987200000000005,1,Feature-LSTM
1993-01-25,0.004013600000000002,-0.013533900000000001,0.017547500000000004,0.6,0.0003,0.017247500000000002,1,Feature-LSTM
1993-01-26,-0.0075161,-0.007787599999999999,0.0002714999999999983,0.55,0.000275,-3.5000000000017114e-06,1,Feature-LSTM
1993-01-27,-0.013967199999999999,-0.0170564,0.0030892000000000003,0.6,0.0003,0.0027892000000000004,1,Feature-LSTM
1993-01-28,0.020324699999999998,-0.0024193,0.022743999999999997,0.55,0.000275,0.022468999999999996,1,Feature-LSTM
1993-01-29,0.009423699999999998,0.0023685000000000004,0.007055199999999998,0.6499999999999999,0.00032499999999999993,0.006730199999999998,1,Feature-LSTM
1993-02-01,0.0035455,-0.0023451,0.0058906,0.5,0.00025,0.0056406,1,Feature-LSTM
1993-02-02,0.015280800000000002,0.0153283,-4.74999999999972e-05,0.4,0.0002,-0.0002474999999999972,1,Feature-LSTM
1993-02-03,0.0018494999999999998,0.0031583,-0.0013088000000000004,0.4,0.0002,-0.0015088000000000005,1,Feature-LSTM
1993-02-04,-0.0070293,-0.012067,0.0050377,0.45,0.000225,0.0048127,1,Feature-LSTM
1993-02-05,0.010359599999999998,-0.0078081999999999995,0.018167799999999998,0.44999999999999996,0.000225,0.0179428,1,Feature-LSTM
1993-02-08,0.002947799999999999,-0.014624999999999999,0.0175728,0.7,0.00035,0.0172228,1,Feature-LSTM
1993-02-09,0.010611800000000001,-0.0014156,0.0120274,0.4,0.0002,0.0118274,1,Feature-LSTM
1993-02-10,0.0218331,-0.0069511,0.028784200000000003,0.6,0.0003,0.0284842,1,Feature-LSTM
1993-02-11,0.004194000000000001,-0.0101113,0.0143053,0.6,0.0003,0.0140053,1,Feature-LSTM
1993-02-12,-0.020089100000000002,-0.0469821,0.026892999999999997,0.65,0.000325,0.026567999999999998,1,Feature-LSTM
1993-02-16,-0.0082248,-0.0015493000000000017,-0.006675499999999999,0.65,0.000325,-0.007000499999999999,1,Feature-LSTM
1993-02-17,0.0067963,0.0028804000000000004,0.0039159,0.6000000000000001,0.00030000000000000003,0.0036159,1,Feature-LSTM
1993-02-18,-0.0013128,0.011304599999999998,-0.012617399999999997,0.7,0.00035,-0.012967399999999997,1,Feature-LSTM
1993-02-19,-0.025828300000000005,-0.0062716000000000004,-0.019556700000000003,0.44999999999999996,0.000225,-0.019781700000000003,1,Feature-LSTM
1993-02-22,0.0487699,-0.013279200000000001,0.062049099999999996,0.5,0.00025,0.061799099999999996,1,Feature-LSTM
1993-02-23,0.046604,0.0089224,0.037681599999999996,0.75,0.000375,0.037306599999999995,1,Feature-LSTM
